,time,sea_level_altitude
0,1992.8258,-11.95
1,1992.8493,-11.75
2,1992.8779,-11.45
3,1992.9051,-9.65
4,1992.9302,-10.15
5,1992.9614,-18.95
6,1992.9864,-25.45
7,1993.0123,-27.75
8,1993.0406,-29.55
9,1993.0641,-26.95
10,1993.0974,-26.45
11,1993.1205,-28.35
12,1993.1492,-26.75
13,1993.1764,-25.05
14,1993.2037,-26.55
15,1993.2307,-26.55
16,1993.2851,-22.85
17,1993.3123,-19.65
18,1993.3394,-22.65
19,1993.3665,-22.75
20,1993.3937,-21.35
21,1993.4208,-22.35
22,1993.448,-19.25
23,1993.4741,-19.65
24,1993.5023,-22.05
25,1993.5294,-17.35
26,1993.5836,-20.45
27,1993.6117,-19.45
28,1993.6381,-18.95
29,1993.6651,-14.85
30,1993.6923,-16.55
31,1993.7188,-20.85
32,1993.7466,-15.35
33,1993.7738,-6.25
34,1993.8009,-10.45
35,1993.8553,-12.95
36,1993.8824,-11.65
37,1993.9097,-12.05
38,1993.9367,-12.85
39,1993.9638,-8.45
40,1993.9907,-12.45
41,1994.0181,-19.15
42,1994.0452,-14.95
43,1994.0723,-15.55
44,1994.0995,-22.35
45,1994.1267,-28.85
46,1994.1538,-24.45
47,1994.1809,-19.55
48,1994.2352,-14.85
49,1994.2624,-12.95
50,1994.2896,-16.15
51,1994.3168,-17.75
52,1994.3439,-16.85
53,1994.371,-20.15
54,1994.3982,-22.25
55,1994.4254,-19.35
56,1994.4525,-14.15
57,1994.5068,-20.85
58,1994.5339,-16.35
59,1994.561,-20.35
60,1994.5882,-18.85
61,1994.6154,-20.05
62,1994.6425,-19.85
63,1994.6696,-16.95
64,1994.6967,-14.75
65,1994.7239,-10.85
66,1994.751,-10.05
67,1994.7781,-10.75
68,1994.8054,-11.25
69,1994.8325,-6.95
70,1994.8868,-10.25
71,1994.9139,-13.05
72,1994.9411,-6.55
73,1994.9683,-7.45
74,1994.9954,-10.55
75,1995.0225,-8.15
76,1995.0497,-11.95
77,1995.0768,-10.15
78,1995.104,-16.75
79,1995.1312,-21.15
80,1995.1583,-11.75
81,1995.2126,-11.05
82,1995.2398,-17.55
83,1995.2669,-11.25
84,1995.294,-12.75
85,1995.3212,-9.95
86,1995.3755,-11.45
87,1995.4027,-13.65
88,1995.4299,-13.05
89,1995.457,-13.35
90,1995.484,-16.65
91,1995.5384,-15.95
92,1995.5655,-13.85
93,1995.5927,-12.65
94,1995.6199,-8.15
95,1995.647,-9.75
96,1995.6739,-10.35
97,1995.7013,-4.95
98,1995.7285,2.85
99,1995.7556,-1.45
100,1995.7827,-3.45
101,1995.837,-3.15
102,1995.8642,-1.65
103,1995.89,2.35
104,1995.9456,-3.55
105,1995.9727,-0.45
