,time,sea_level_altitude
0,1992.8258,-19.77
1,1992.8493,-19.62
2,1992.8779,-18.89
3,1992.9051,-16.21
4,1992.9302,-15.54
5,1992.9614,-22.54
6,1992.9864,-27.44
7,1993.0123,-28.07
8,1993.0406,-28.16
9,1993.0641,-24.32
10,1993.0974,-22.47
11,1993.1205,-23.77
12,1993.1492,-21.8
13,1993.1764,-20.13
14,1993.2037,-21.95
15,1993.2307,-22.47
16,1993.2851,-20.03
17,1993.3123,-17.36
18,1993.3394,-20.72
19,1993.3665,-20.99
20,1993.3937,-19.55
21,1993.4208,-20.34
22,1993.448,-16.92
23,1993.4741,-17.0
24,1993.5023,-19.12
25,1993.5294,-14.33
26,1993.5836,-18.04
27,1993.6117,-17.85
28,1993.6381,-18.42
29,1993.6651,-15.65
30,1993.6923,-18.84
31,1993.7188,-24.64
32,1993.7466,-20.62
33,1993.7738,-12.74
34,1993.8009,-17.83
35,1993.8553,-20.78
36,1993.8824,-18.98
37,1993.9097,-18.41
38,1993.9367,-17.89
39,1993.9638,-11.89
40,1993.9907,-14.16
41,1994.0181,-19.11
42,1994.0452,-13.3
43,1994.0723,-12.54
44,1994.0995,-18.31
45,1994.1267,-24.15
46,1994.1538,-19.48
47,1994.1809,-14.66
48,1994.2352,-10.87
49,1994.2624,-9.61
50,1994.2896,-13.42
51,1994.3168,-15.53
52,1994.3439,-14.96
53,1994.371,-18.4
54,1994.3982,-20.43
55,1994.4254,-17.29
56,1994.4525,-11.77
57,1994.5068,-17.89
58,1994.5339,-13.33
59,1994.561,-17.53
60,1994.5882,-16.55
61,1994.6154,-18.59
62,1994.6425,-19.52
63,1994.6696,-17.99
64,1994.6967,-17.29
65,1994.7239,-14.92
66,1994.751,-15.54
67,1994.7781,-17.41
68,1994.8054,-18.74
69,1994.8325,-14.82
70,1994.8868,-17.45
71,1994.9139,-19.23
72,1994.9411,-11.34
73,1994.9683,-10.61
74,1994.9954,-11.96
75,1995.0225,-7.83
76,1995.0497,-10.06
77,1995.0768,-6.95
78,1995.104,-12.57
79,1995.1312,-16.38
80,1995.1583,-6.78
81,1995.2126,-6.6
82,1995.2398,-13.67
83,1995.2669,-8.01
84,1995.294,-10.11
85,1995.3212,-7.8
86,1995.3755,-9.7
87,1995.4027,-11.8
88,1995.4299,-10.94
89,1995.457,-10.91
90,1995.484,-13.89
91,1995.5384,-12.95
92,1995.5655,-11.1
93,1995.5927,-10.46
94,1995.6199,-6.85
95,1995.647,-9.63
96,1995.6739,-11.62
97,1995.7013,-7.75
98,1995.7285,-1.47
99,1995.7556,-7.16
100,1995.7827,-10.28
101,1995.837,-11.04
102,1995.8642,-9.37
103,1995.89,-4.75
104,1995.9456,-8.09
105,1995.9727,-3.33
106,1996.0001,-4.85
107,1996.0269,-8.86
108,1996.0535,-11.85
109,1996.0813,-11.76
110,1996.1084,-5.35
111,1996.1631,-3.48
112,1996.19,-7.16
113,1996.2159,-7.07
114,1996.2443,-7.58
115,1996.2714,-8.22
116,1996.2985,-8.1
117,1996.3257,-2.76
118,1996.3528,1.37
119,1996.38,-4.19
120,1996.4071,-3.36
121,1996.4343,-5.39
122,1996.4886,-9.04
123,1996.5157,-5.75
124,1996.5429,0.93
