,time,sea_level_altitude
0,1992.8258,-19.33
1,1992.8493,-19.18
2,1992.8779,-18.45
3,1992.9051,-15.76
4,1992.9302,-15.09
5,1992.9614,-22.09
6,1992.9864,-27.0
7,1993.0123,-27.63
8,1993.0406,-27.71
9,1993.0641,-23.88
10,1993.0974,-22.03
11,1993.1205,-23.32
12,1993.1492,-21.36
13,1993.1764,-19.68
14,1993.2037,-21.5
15,1993.2307,-22.03
16,1993.2851,-19.58
17,1993.3123,-16.91
18,1993.3394,-20.28
19,1993.3665,-20.54
20,1993.3937,-19.1
21,1993.4208,-19.9
22,1993.448,-16.48
23,1993.4741,-16.55
24,1993.5023,-18.67
25,1993.5294,-13.88
26,1993.5836,-17.59
27,1993.6117,-17.41
28,1993.6381,-17.97
29,1993.6651,-15.2
30,1993.6923,-18.4
31,1993.7188,-24.19
32,1993.7466,-20.17
33,1993.7738,-12.3
34,1993.8009,-17.38
35,1993.8553,-20.33
36,1993.8824,-18.53
37,1993.9097,-17.97
38,1993.9367,-17.44
39,1993.9638,-11.44
40,1993.9907,-13.72
41,1994.0181,-18.66
42,1994.0452,-12.86
43,1994.0723,-12.1
44,1994.0995,-17.86
45,1994.1267,-23.71
46,1994.1538,-19.04
47,1994.1809,-14.22
48,1994.2352,-10.42
49,1994.2624,-9.16
50,1994.2896,-12.98
51,1994.3168,-15.08
52,1994.3439,-14.52
53,1994.371,-17.95
54,1994.3982,-19.98
55,1994.4254,-16.85
56,1994.4525,-11.32
57,1994.5068,-17.44
58,1994.5339,-12.89
59,1994.561,-17.09
60,1994.5882,-16.1
61,1994.6154,-18.14
62,1994.6425,-19.07
63,1994.6696,-17.54
64,1994.6967,-16.85
65,1994.7239,-14.48
66,1994.751,-15.09
67,1994.7781,-16.96
68,1994.8054,-18.29
69,1994.8325,-14.38
70,1994.8868,-17.0
71,1994.9139,-18.78
72,1994.9411,-10.9
73,1994.9683,-10.16
74,1994.9954,-11.51
75,1995.0225,-7.39
76,1995.0497,-9.61
77,1995.0768,-6.5
78,1995.104,-12.13
79,1995.1312,-15.94
80,1995.1583,-6.33
81,1995.2126,-6.16
82,1995.2398,-13.23
83,1995.2669,-7.57
84,1995.294,-9.67
85,1995.3212,-7.35
86,1995.3755,-9.25
87,1995.4027,-11.35
88,1995.4299,-10.5
89,1995.457,-10.46
90,1995.484,-13.44
91,1995.5384,-12.5
92,1995.5655,-10.65
93,1995.5927,-10.02
94,1995.6199,-6.41
95,1995.647,-9.19
96,1995.6739,-11.17
97,1995.7013,-7.31
98,1995.7285,-1.03
99,1995.7556,-6.71
100,1995.7827,-9.83
101,1995.837,-10.6
102,1995.8642,-8.92
103,1995.89,-4.31
104,1995.9456,-7.64
105,1995.9727,-2.88
106,1996.0001,-4.41
107,1996.0269,-8.42
108,1996.0535,-11.41
109,1996.0813,-11.31
110,1996.1084,-4.91
111,1996.1631,-3.03
112,1996.19,-6.71
113,1996.2159,-6.62
114,1996.2443,-7.13
115,1996.2714,-7.77
116,1996.2985,-7.66
117,1996.3257,-2.32
118,1996.3528,1.81
119,1996.38,-3.75
120,1996.4071,-2.92
121,1996.4343,-4.95
122,1996.4886,-8.59
123,1996.5157,-5.3
124,1996.5429,1.38
125,1996.5701,1.48
126,1996.5972,-3.84
127,1996.6244,-3.89
128,1996.6515,-2.71
129,1996.6786,-5.53
130,1996.7054,-0.34
131,1996.7335,-0.8
132,1996.76,-0.91
133,1996.8144,-1.57
134,1996.8415,3.4
135,1996.8686,0.85
136,1996.8958,-5.41
137,1996.9229,-3.56
138,1996.9501,-3.78
139,1996.9769,-8.61
140,1997.0043,-6.24
141,1997.0315,-5.14
142,1997.0587,-7.64
143,1997.0858,-6.04
144,1997.1401,-4.53
145,1997.1672,-4.84
146,1997.1944,-5.87
147,1997.2215,-4.23
148,1997.2487,-1.14
149,1997.2758,-7.47
150,1997.3031,-11.65
151,1997.3302,-8.57
152,1997.3573,-3.81
153,1997.3845,-0.34
154,1997.4116,3.72
155,1997.4659,-3.75
156,1997.4931,-3.35
157,1997.5202,-2.39
158,1997.5474,0.75
159,1997.5745,-2.2
160,1997.6288,0.23
161,1997.656,-1.43
162,1997.6829,-6.27
163,1997.7102,-3.31
164,1997.7374,2.4
165,1997.7917,0.37
166,1997.8189,0.06
167,1997.846,1.41
168,1997.8731,-4.46
169,1997.9001,-3.75
170,1997.9273,-1.14
171,1997.9545,-3.01
172,1997.9816,-2.11
173,1998.0089,-4.04
174,1998.036,-3.18
175,1998.0903,0.93
176,1998.1174,-0.19
177,1998.1446,-3.69
178,1998.1717,-4.16
179,1998.1989,0.67
180,1998.2261,1.37
181,1998.2532,-1.14
182,1998.2803,-1.57
183,1998.3075,-1.53
184,1998.3347,-4.43
185,1998.3617,-4.13
186,1998.4158,-2.34
187,1998.4432,-1.44
188,1998.4704,-0.2
189,1998.4975,0.59
190,1998.5247,-4.18
191,1998.5518,-6.49
192,1998.6061,-3.32
193,1998.6332,-6.35
194,1998.6604,-2.96
195,1998.6875,-6.13
196,1998.7147,-3.57
197,1998.7419,-4.24
198,1998.7689,-7.2
199,1998.8233,-2.8
200,1998.8504,-7.17
201,1998.8776,-6.75
202,1998.9046,-10.78
203,1998.9319,-5.2
204,1998.959,-10.54
205,1998.9862,-9.21
206,1999.0133,-8.36
207,1999.0405,-3.12
208,1999.0947,-8.72
209,1999.1255,-5.33
210,1999.1491,-7.66
211,1999.1762,-10.28
212,1999.2034,-11.4
