,time,sea_level_altitude
0,1992.8258,-11.5
1,1992.8493,-11.3
2,1992.8779,-11.0
3,1992.9051,-9.2
4,1992.9302,-9.7
5,1992.9614,-18.5
6,1992.9864,-25.0
7,1993.0123,-27.3
8,1993.0406,-29.1
9,1993.0641,-26.5
10,1993.0974,-26.0
11,1993.1205,-27.9
12,1993.1492,-26.3
13,1993.1764,-24.6
14,1993.2037,-26.1
15,1993.2307,-26.1
16,1993.2851,-22.4
17,1993.3123,-19.2
18,1993.3394,-22.2
19,1993.3665,-22.3
20,1993.3937,-20.9
21,1993.4208,-21.9
22,1993.448,-18.8
23,1993.4741,-19.2
24,1993.5023,-21.6
25,1993.5294,-16.9
26,1993.5836,-20.0
27,1993.6117,-19.0
28,1993.6381,-18.5
29,1993.6651,-14.4
30,1993.6923,-16.1
31,1993.7188,-20.4
32,1993.7466,-14.9
33,1993.7738,-5.8
34,1993.8009,-10.0
35,1993.8553,-12.5
36,1993.8824,-11.2
37,1993.9097,-11.6
38,1993.9367,-12.4
39,1993.9638,-8.0
40,1993.9907,-12.0
41,1994.0181,-18.7
42,1994.0452,-14.5
43,1994.0723,-15.1
44,1994.0995,-21.9
45,1994.1267,-28.4
46,1994.1538,-24.0
47,1994.1809,-19.1
48,1994.2352,-14.4
49,1994.2624,-12.5
50,1994.2896,-15.7
51,1994.3168,-17.3
52,1994.3439,-16.4
53,1994.371,-19.7
54,1994.3982,-21.8
55,1994.4254,-18.9
56,1994.4525,-13.7
57,1994.5068,-20.4
58,1994.5339,-15.9
59,1994.561,-19.9
60,1994.5882,-18.4
61,1994.6154,-19.6
62,1994.6425,-19.4
63,1994.6696,-16.5
64,1994.6967,-14.3
65,1994.7239,-10.4
66,1994.751,-9.6
67,1994.7781,-10.3
68,1994.8054,-10.8
69,1994.8325,-6.5
70,1994.8868,-9.8
71,1994.9139,-12.6
72,1994.9411,-6.1
73,1994.9683,-7.0
74,1994.9954,-10.1
75,1995.0225,-7.7
76,1995.0497,-11.5
77,1995.0768,-9.7
78,1995.104,-16.3
79,1995.1312,-20.7
80,1995.1583,-11.3
81,1995.2126,-10.6
82,1995.2398,-17.1
83,1995.2669,-10.8
84,1995.294,-12.3
85,1995.3212,-9.5
86,1995.3755,-11.0
87,1995.4027,-13.2
88,1995.4299,-12.6
89,1995.457,-12.9
90,1995.484,-16.2
91,1995.5384,-15.5
92,1995.5655,-13.4
93,1995.5927,-12.2
94,1995.6199,-7.7
95,1995.647,-9.3
96,1995.6739,-9.9
97,1995.7013,-4.5
98,1995.7285,3.3
99,1995.7556,-1.0
100,1995.7827,-3.0
101,1995.837,-2.7
102,1995.8642,-1.2
103,1995.89,2.8
104,1995.9456,-3.1
105,1995.9727,0.0
106,1996.0001,-3.3
107,1996.0269,-9.0
108,1996.0535,-13.5
109,1996.0813,-14.7
110,1996.1084,-9.2
111,1996.1631,-8.0
112,1996.19,-11.5
113,1996.2159,-11.0
114,1996.2443,-10.9
115,1996.2714,-10.9
116,1996.2985,-10.2
117,1996.3257,-4.4
118,1996.3528,0.0
119,1996.38,-5.5
120,1996.4071,-4.8
121,1996.4343,-7.1
122,1996.4886,-11.4
123,1996.5157,-8.3
124,1996.5429,-1.6
125,1996.5701,-1.2
126,1996.5972,-5.9
127,1996.6244,-5.0
128,1996.6515,-2.6
129,1996.6786,-4.0
130,1996.7054,2.7
131,1996.7335,3.8
132,1996.76,5.0
133,1996.8144,6.1
134,1996.8415,11.3
135,1996.8686,8.5
136,1996.8958,1.5
137,1996.9229,2.2
138,1996.9501,0.5
139,1996.9769,-6.0
140,1997.0043,-5.4
141,1997.0315,-6.0
142,1997.0587,-10.0
143,1997.0858,-9.6
144,1997.1401,-9.4
145,1997.1672,-9.8
146,1997.1944,-10.6
147,1997.2215,-8.5
148,1997.2487,-4.8
149,1997.2758,-10.5
150,1997.3031,-14.1
151,1997.3302,-10.6
152,1997.3573,-5.6
153,1997.3845,-2.1
154,1997.4116,1.8
155,1997.4659,-6.3
156,1997.4931,-6.2
157,1997.5202,-5.4
158,1997.5474,-2.2
159,1997.5745,-4.8
160,1997.6288,-0.7
161,1997.656,-1.1
162,1997.6829,-4.5
163,1997.7102,0.0
164,1997.7374,7.2
165,1997.7917,7.5
166,1997.8189,7.8
167,1997.846,9.3
168,1997.8731,3.1
169,1997.9001,3.0
170,1997.9273,4.4
171,1997.9545,1.0
172,1997.9816,0.2
173,1998.0089,-3.5
174,1998.036,-4.3
175,1998.0903,-2.8
176,1998.1174,-4.7
177,1998.1446,-8.6
178,1998.1717,-9.1
179,1998.1989,-4.0
180,1998.2261,-2.8
181,1998.2532,-4.7
182,1998.2803,-4.5
183,1998.3075,-3.9
184,1998.3347,-6.4
185,1998.3617,-5.9
186,1998.4158,-4.3
187,1998.4432,-3.7
188,1998.4704,-2.8
189,1998.4975,-2.3
190,1998.5247,-7.2
191,1998.5518,-9.4
192,1998.6061,-5.1
193,1998.6332,-7.1
194,1998.6604,-2.4
195,1998.6875,-4.1
196,1998.7147,0.0
197,1998.7419,0.8
198,1998.7689,-0.9
199,1998.8233,5.0
200,1998.8504,0.7
201,1998.8776,0.7
202,1998.9046,-4.2
203,1998.9319,0.1
204,1998.959,-6.8
205,1998.9862,-7.2
206,1999.0133,-8.1
207,1999.0405,-4.5
208,1999.0947,-12.6
209,1999.1255,-10.0
210,1999.1491,-12.6
211,1999.1762,-15.2
212,1999.2034,-16.0
213,1999.2305,-8.5
214,1999.2576,-12.9
215,1999.2848,-13.9
216,1999.3391,-10.7
217,1999.3663,-11.2
218,1999.3933,-10.1
219,1999.4206,-8.2
220,1999.4478,-9.4
221,1999.4749,-13.3
222,1999.502,-12.1
223,1999.5292,-10.8
224,1999.5566,-13.4
225,1999.5834,-11.0
226,1999.6106,-13.5
227,1999.6378,-6.6
228,1999.692,-8.2
229,1999.7192,-0.7
230,1999.7462,-1.7
231,1999.7735,1.2
232,1999.8007,0.5
233,1999.8277,0.3
234,1999.8549,2.5
235,1999.8822,6.2
236,1999.908,3.5
237,1999.9635,0.5
238,1999.9907,-2.3
239,2000.0177,-7.5
240,2000.045,-5.6
241,2000.0721,-3.5
242,2000.0993,-7.5
243,2000.1264,-8.7
244,2000.1535,-4.2
245,2000.1807,-7.2
246,2000.2079,-9.7
247,2000.235,-5.4
248,2000.2893,-9.2
249,2000.3165,-5.9
250,2000.3436,-9.1
251,2000.3707,-8.3
252,2000.3978,-5.4
253,2000.425,-3.0
254,2000.4522,-5.3
255,2000.4793,-8.7
256,2000.5065,-6.6
257,2000.5337,-2.3
258,2000.588,-6.8
259,2000.6151,-4.3
260,2000.6423,-5.9
261,2000.6694,-6.1
262,2000.6965,-0.5
263,2000.7235,7.1
264,2000.7508,7.9
265,2000.778,7.8
266,2000.805,4.9
267,2000.8594,12.0
268,2000.8859,11.5
