,time,sea_level_altitude
0,1992.8249,54.77
1,1992.8503,73.67
2,1992.8772,-1.33
3,1992.906,15.97
4,1992.9319,-7.33
5,1992.9596,-81.03
6,1992.9868,-56.33
7,1993.0133,-43.73
8,1993.0407,-62.03
9,1993.0654,-105.53
10,1993.0964,-151.23
11,1993.1219,-118.43
12,1993.1494,-134.43
13,1993.1773,-122.83
14,1993.2046,-59.23
15,1993.2324,-86.63
16,1993.2867,-72.93
17,1993.3126,-55.13
18,1993.3404,-48.53
19,1993.3672,-43.83
20,1993.3939,-68.33
21,1993.422,-57.23
22,1993.449,-66.03
23,1993.4754,-39.33
24,1993.5036,-16.13
25,1993.53,4.87
26,1993.5847,59.17
27,1993.6119,67.77
28,1993.6393,21.97
29,1993.6659,27.87
30,1993.6932,70.67
31,1993.7197,23.17
32,1993.7475,89.87
33,1993.7748,123.77
34,1993.8021,33.77
35,1993.8565,9.47
36,1993.8835,-4.23
37,1993.9108,-87.23
38,1993.9372,-85.53
39,1993.965,-91.63
40,1993.9919,-65.53
41,1994.0191,-59.63
42,1994.0459,-36.73
43,1994.0733,-95.53
44,1994.1005,-145.73
45,1994.1278,-116.73
46,1994.1549,-92.33
47,1994.1814,-106.63
48,1994.2359,-105.93
49,1994.2635,-66.93
50,1994.2901,-43.33
51,1994.3176,-47.13
52,1994.3446,-62.53
53,1994.3721,-76.83
54,1994.3994,-60.53
55,1994.4261,-54.73
56,1994.453,-41.73
57,1994.5077,-21.43
58,1994.535,49.17
59,1994.5621,50.87
60,1994.5887,75.67
61,1994.6163,104.47
62,1994.6436,129.97
63,1994.6706,84.87
64,1994.6978,77.27
65,1994.7252,101.07
66,1994.7522,117.27
67,1994.7796,60.77
68,1994.8063,87.87
69,1994.8334,65.37
70,1994.8878,16.77
71,1994.9153,-27.73
72,1994.9416,-9.23
73,1994.9693,9.17
74,1994.9963,-20.33
75,1995.0238,-121.53
76,1995.0501,-90.53
77,1995.0785,-71.33
78,1995.1047,-70.33
79,1995.132,-52.73
80,1995.1594,-103.83
81,1995.2141,-107.43
82,1995.2402,-122.53
83,1995.2678,-115.33
84,1995.2946,-73.23
85,1995.3221,-88.03
86,1995.3755,-30.23
87,1995.4032,-44.63
88,1995.4308,-57.03
89,1995.4574,-25.33
90,1995.4844,-37.93
91,1995.5395,-17.43
92,1995.5666,26.47
93,1995.5938,8.97
94,1995.6208,10.07
95,1995.6479,50.57
96,1995.6743,21.97
97,1995.7023,78.47
98,1995.7297,118.77
99,1995.7566,69.87
100,1995.7837,61.87
101,1995.8378,-78.13
102,1995.8651,-82.93
103,1995.8917,-31.33
104,1995.946,24.87
105,1995.9739,-6.03
106,1996.0009,-80.33
107,1996.0284,-79.53
108,1996.0559,-51.43
109,1996.0823,-81.03
110,1996.1095,-136.23
111,1996.1637,-152.83
112,1996.1906,-155.83
113,1996.2198,-139.63
114,1996.2452,-140.73
115,1996.2724,-122.33
116,1996.2994,-90.13
117,1996.3269,-88.73
118,1996.355,-37.23
119,1996.3807,-25.83
120,1996.4088,-40.33
121,1996.4356,-14.03
122,1996.4897,-10.03
123,1996.5166,22.17
124,1996.5441,54.27
125,1996.5702,76.77
126,1996.5981,93.17
127,1996.6255,54.57
128,1996.6521,59.47
129,1996.6795,74.07
130,1996.7071,89.87
131,1996.7333,131.87
132,1996.7604,134.57
133,1996.8154,106.67
134,1996.8425,84.17
135,1996.87,73.47
136,1996.8965,-7.03
137,1996.924,-78.83
138,1996.9509,-69.43
139,1996.9782,-65.53
140,1997.005,-78.63
141,1997.0326,-77.73
142,1997.0597,-80.13
