,time,sea_level_altitude
0,1992.8249,-18.47
1,1992.8503,16.46
2,1992.8772,-40.03
3,1992.906,-2.13
4,1992.9319,-7.04
5,1992.9596,-62.0
6,1992.9868,-20.5
7,1993.0133,6.49
8,1993.0407,0.71
9,1993.0654,-33.68
10,1993.0964,-70.85
11,1993.1219,-33.33
12,1993.1494,-46.37
13,1993.1773,-33.78
14,1993.2046,29.04
15,1993.2324,-0.77
16,1993.2867,3.79
17,1993.3126,15.12
18,1993.3404,13.14
19,1993.3672,7.89
20,1993.3939,-28.24
21,1993.422,-31.19
22,1993.449,-55.1
23,1993.4754,-44.42
24,1993.5036,-39.25
25,1993.53,-35.42
26,1993.5847,-14.68
27,1993.6119,-20.17
28,1993.6393,-77.39
29,1993.6659,-79.25
30,1993.6932,-40.53
31,1993.7197,-87.93
32,1993.7475,-16.77
33,1993.7748,25.67
34,1993.8021,-52.09
35,1993.8565,-43.58
36,1993.8835,-38.46
37,1993.9108,-101.89
38,1993.9372,-81.56
39,1993.965,-69.12
40,1993.9919,-26.77
41,1994.0191,-6.55
42,1994.0459,28.1
43,1994.0733,-21.2
44,1994.1005,-64.45
45,1994.1278,-30.82
46,1994.1549,-3.92
47,1994.1814,-17.59
48,1994.2359,-20.48
49,1994.2635,14.41
50,1994.2901,32.62
51,1994.3176,21.7
52,1994.3446,-2.3
53,1994.3721,-27.12
54,1994.3994,-23.05
55,1994.4261,-30.89
56,1994.453,-33.15
57,1994.5077,-47.21
58,1994.535,5.65
59,1994.5621,-9.71
60,1994.5887,-0.39
61,1994.6163,14.49
62,1994.6436,29.12
63,1994.6706,-23.25
64,1994.6978,-34.2
65,1994.7252,-9.5
66,1994.7522,11.81
67,1994.7796,-35.43
68,1994.8063,4.19
69,1994.8334,-2.71
70,1994.8878,-14.39
71,1994.9153,-39.17
72,1994.9416,-2.23
73,1994.9693,34.4
74,1994.9963,20.9
75,1995.0238,-66.21
76,1995.0501,-24.08
77,1995.0785,4.51
78,1995.1047,11.81
79,1995.132,33.7
80,1995.1594,-15.19
81,1995.2141,-19.8
82,1995.2402,-37.62
83,1995.2678,-34.76
84,1995.2946,1.66
85,1995.3221,-20.52
86,1995.3755,18.06
87,1995.4032,-8.99
88,1995.4308,-35.75
89,1995.4574,-19.38
90,1995.4844,-48.7
91,1995.5395,-63.84
92,1995.5666,-36.84
93,1995.5938,-69.85
94,1995.6208,-81.92
95,1995.6479,-51.68
96,1995.6743,-86.84
97,1995.7023,-33.15
98,1995.7297,8.76
99,1995.7566,-34.37
100,1995.7837,-32.62
101,1995.8378,-143.45
102,1995.8651,-130.1
103,1995.8917,-59.69
104,1995.946,34.86
105,1995.9739,22.06
106,1996.0009,-36.58
107,1996.0284,-22.1
108,1996.0559,17.16
109,1996.0823,-4.13
110,1996.1095,-53.18
111,1996.1637,-64.02
112,1996.1906,-66.95
113,1996.2198,-52.48
114,1996.2452,-56.5
115,1996.2724,-42.63
116,1996.2994,-16.41
117,1996.3269,-22.68
118,1996.355,19.23
119,1996.3807,20.22
120,1996.4088,-7.46
121,1996.4356,4.58
122,1996.4897,-24.18
123,1996.5166,-9.41
124,1996.5441,4.92
125,1996.5702,11.3
126,1996.5981,12.08
127,1996.6255,-39.43
128,1996.6521,-44.06
129,1996.6795,-35.6
130,1996.7071,-21.78
131,1996.7333,22.4
132,1996.7604,31.47
133,1996.8154,27.94
134,1996.8425,21.85
135,1996.87,29.71
136,1996.8965,-31.95
137,1996.924,-84.09
138,1996.9509,-56.14
139,1996.9782,-34.81
140,1997.005,-32.68
141,1997.0326,-18.43
142,1997.0597,-10.2
143,1997.087,29.9
144,1997.1409,-10.76
145,1997.1681,52.21
146,1997.1956,43.28
147,1997.2224,13.68
148,1997.2494,-48.1
149,1997.2766,-55.27
150,1997.3045,14.79
151,1997.3312,-14.83
152,1997.3588,-27.51
153,1997.3852,-0.96
154,1997.4122,30.02
155,1997.4668,24.41
156,1997.494,-2.94
157,1997.5215,7.3
158,1997.5489,10.98
159,1997.5755,8.48
160,1997.6297,68.95
161,1997.6571,9.42
162,1997.6833,-12.43
163,1997.7113,27.7
164,1997.7386,-4.28
165,1997.7927,-84.49
166,1997.8199,-64.4
167,1997.8469,-42.28
168,1997.8741,-22.92
169,1997.9015,4.64
170,1997.9284,-28.09
171,1997.956,-29.16
172,1997.9826,50.13
173,1998.0101,27.37
174,1998.0373,77.2
175,1998.0914,-18.31
176,1998.1181,-14.31
177,1998.1453,84.72
178,1998.1724,79.09
179,1998.2,57.19
180,1998.2274,-8.72
181,1998.2544,-11.97
182,1998.2816,3.3
183,1998.3084,11.86
184,1998.336,34.52
185,1998.3626,8.62
186,1998.4172,29.54
187,1998.4443,65.74
188,1998.4712,77.6
189,1998.4986,31.99
190,1998.5255,19.9
191,1998.5524,52.88
192,1998.607,-5.32
193,1998.6343,-34.14
194,1998.6616,-61.74
195,1998.6881,-57.38
196,1998.7157,-4.01
197,1998.7426,11.02
198,1998.7699,-11.05
199,1998.8248,-12.63
200,1998.8514,-2.81
201,1998.8781,3.11
202,1998.9057,9.06
203,1998.9329,26.26
204,1998.9603,-28.85
205,1998.9871,23.08
206,1999.0143,-25.11
207,1999.0416,16.08
208,1999.0958,-31.38
209,1999.1249,-38.2
210,1999.15,-36.02
211,1999.1768,16.82
212,1999.2043,76.26
213,1999.2313,67.76
214,1999.2586,57.05
215,1999.2869,4.04
216,1999.3395,-14.55
217,1999.3654,-24.39
218,1999.3941,-18.33
219,1999.4227,25.14
220,1999.4487,-14.32
221,1999.4753,3.34
222,1999.5039,18.76
223,1999.5298,11.01
224,1999.5564,-24.91
225,1999.5849,26.51
226,1999.6118,36.47
227,1999.6388,-15.31
228,1999.6931,3.58
229,1999.7197,31.07
230,1999.7466,34.52
231,1999.7746,46.69
232,1999.8017,78.21
233,1999.829,82.89
234,1999.856,47.38
235,1999.8832,24.33
236,1999.9084,9.69
237,1999.9645,-37.94
238,1999.9917,-5.38
239,2000.0186,62.31
240,2000.0463,45.76
241,2000.0745,-10.64
242,2000.1008,2.91
243,2000.1273,15.52
244,2000.1541,37.04
245,2000.1813,43.61
246,2000.209,38.17
247,2000.2364,23.06
248,2000.2903,-32.43
249,2000.3175,-2.97
250,2000.3439,2.24
251,2000.3717,7.45
252,2000.3986,8.64
253,2000.4262,-11.94
254,2000.4543,20.68
255,2000.4814,0.5
256,2000.507,24.74
257,2000.5348,18.38
258,2000.5893,-13.82
259,2000.6164,-22.66
260,2000.6433,-6.78
261,2000.6708,21.02
262,2000.6974,42.42
263,2000.7243,12.4
264,2000.7519,8.14
265,2000.7789,-16.42
266,2000.8059,-8.72
267,2000.8605,-0.56
268,2000.8871,19.01
269,2000.9144,16.99
270,2000.9415,24.0
271,2000.9691,35.87
272,2000.9962,45.05
273,2001.0236,109.09
274,2001.0782,83.83
275,2001.1048,53.73
276,2001.132,36.2
277,2001.1602,8.84
