,time,sea_level_altitude
0,1992.8249,-18.0
1,1992.8503,16.94
2,1992.8772,-39.55
3,1992.906,-1.65
4,1992.9319,-6.56
5,1992.9596,-61.53
6,1992.9868,-20.02
7,1993.0133,6.97
8,1993.0407,1.19
9,1993.0654,-33.2
10,1993.0964,-70.37
11,1993.1219,-32.86
12,1993.1494,-45.89
13,1993.1773,-33.3
14,1993.2046,29.52
15,1993.2324,-0.29
16,1993.2867,4.26
17,1993.3126,15.59
18,1993.3404,13.62
19,1993.3672,8.36
20,1993.3939,-27.76
21,1993.422,-30.71
22,1993.449,-54.62
23,1993.4754,-43.95
24,1993.5036,-38.77
25,1993.53,-34.94
26,1993.5847,-14.2
27,1993.6119,-19.7
28,1993.6393,-76.91
29,1993.6659,-78.78
30,1993.6932,-40.05
31,1993.7197,-87.46
32,1993.7475,-16.3
33,1993.7748,26.14
34,1993.8021,-51.61
35,1993.8565,-43.11
36,1993.8835,-37.98
37,1993.9108,-101.41
38,1993.9372,-81.08
39,1993.965,-68.65
40,1993.9919,-26.29
41,1994.0191,-6.07
42,1994.0459,28.58
43,1994.0733,-20.73
44,1994.1005,-63.98
45,1994.1278,-30.34
46,1994.1549,-3.44
47,1994.1814,-17.11
48,1994.2359,-20.01
49,1994.2635,14.89
50,1994.2901,33.09
51,1994.3176,22.18
52,1994.3446,-1.83
53,1994.3721,-26.64
54,1994.3994,-22.57
55,1994.4261,-30.41
56,1994.453,-32.68
57,1994.5077,-46.74
58,1994.535,6.13
59,1994.5621,-9.24
60,1994.5887,0.08
61,1994.6163,14.96
62,1994.6436,29.6
63,1994.6706,-22.77
64,1994.6978,-33.73
65,1994.7252,-9.03
66,1994.7522,12.29
67,1994.7796,-34.96
68,1994.8063,4.66
69,1994.8334,-2.23
70,1994.8878,-13.91
71,1994.9153,-38.69
72,1994.9416,-1.76
73,1994.9693,34.87
74,1994.9963,21.38
75,1995.0238,-65.74
76,1995.0501,-23.6
77,1995.0785,4.99
78,1995.1047,12.28
79,1995.132,34.18
80,1995.1594,-14.72
81,1995.2141,-19.33
82,1995.2402,-37.15
83,1995.2678,-34.29
84,1995.2946,2.14
85,1995.3221,-20.04
86,1995.3755,18.53
87,1995.4032,-8.51
88,1995.4308,-35.27
89,1995.4574,-18.9
90,1995.4844,-48.22
91,1995.5395,-63.36
92,1995.5666,-36.37
93,1995.5938,-69.38
94,1995.6208,-81.45
95,1995.6479,-51.21
96,1995.6743,-86.37
97,1995.7023,-32.68
98,1995.7297,9.24
99,1995.7566,-33.89
100,1995.7837,-32.14
101,1995.8378,-142.98
102,1995.8651,-129.62
103,1995.8917,-59.22
104,1995.946,35.34
105,1995.9739,22.54
106,1996.0009,-36.1
107,1996.0284,-21.62
108,1996.0559,17.64
109,1996.0823,-3.66
110,1996.1095,-52.7
111,1996.1637,-63.55
112,1996.1906,-66.48
113,1996.2198,-52.01
114,1996.2452,-56.02
115,1996.2724,-42.16
116,1996.2994,-15.93
117,1996.3269,-22.2
118,1996.355,19.71
119,1996.3807,20.7
120,1996.4088,-6.99
121,1996.4356,5.06
122,1996.4897,-23.71
123,1996.5166,-8.93
124,1996.5441,5.4
125,1996.5702,11.78
126,1996.5981,12.56
127,1996.6255,-38.96
128,1996.6521,-43.59
129,1996.6795,-35.12
130,1996.7071,-21.31
131,1996.7333,22.87
132,1996.7604,31.95
133,1996.8154,28.41
134,1996.8425,22.33
135,1996.87,30.18
136,1996.8965,-31.48
137,1996.924,-83.61
138,1996.9509,-55.67
139,1996.9782,-34.33
140,1997.005,-32.21
141,1997.0326,-17.95
142,1997.0597,-9.72
143,1997.087,30.37
144,1997.1409,-10.29
145,1997.1681,52.68
146,1997.1956,43.75
147,1997.2224,14.15
148,1997.2494,-47.63
149,1997.2766,-54.79
150,1997.3045,15.27
151,1997.3312,-14.35
152,1997.3588,-27.03
153,1997.3852,-0.49
154,1997.4122,30.49
155,1997.4668,24.89
156,1997.494,-2.47
157,1997.5215,7.78
158,1997.5489,11.46
159,1997.5755,8.96
160,1997.6297,69.42
161,1997.6571,9.9
162,1997.6833,-11.95
163,1997.7113,28.17
164,1997.7386,-3.8
165,1997.7927,-84.01
166,1997.8199,-63.93
167,1997.8469,-41.81
168,1997.8741,-22.44
169,1997.9015,5.12
170,1997.9284,-27.61
171,1997.956,-28.68
172,1997.9826,50.61
173,1998.0101,27.85
174,1998.0373,77.67
175,1998.0914,-17.84
176,1998.1181,-13.83
177,1998.1453,85.2
178,1998.1724,79.56
179,1998.2,57.66
180,1998.2274,-8.24
181,1998.2544,-11.49
182,1998.2816,3.77
183,1998.3084,12.34
184,1998.336,34.99
185,1998.3626,9.09
186,1998.4172,30.01
187,1998.4443,66.21
188,1998.4712,78.07
189,1998.4986,32.46
190,1998.5255,20.38
191,1998.5524,53.36
192,1998.607,-4.84
193,1998.6343,-33.67
194,1998.6616,-61.26
195,1998.6881,-56.91
196,1998.7157,-3.53
197,1998.7426,11.5
198,1998.7699,-10.58
199,1998.8248,-12.16
200,1998.8514,-2.33
201,1998.8781,3.58
202,1998.9057,9.53
203,1998.9329,26.74
204,1998.9603,-28.37
205,1998.9871,23.55
206,1999.0143,-24.63
207,1999.0416,16.56
208,1999.0958,-30.91
209,1999.1249,-37.73
210,1999.15,-35.55
211,1999.1768,17.3
212,1999.2043,76.73
213,1999.2313,68.23
214,1999.2586,57.52
215,1999.2869,4.52
216,1999.3395,-14.08
217,1999.3654,-23.92
218,1999.3941,-17.86
219,1999.4227,25.61
220,1999.4487,-13.84
221,1999.4753,3.82
222,1999.5039,19.23
223,1999.5298,11.49
224,1999.5564,-24.43
225,1999.5849,26.99
226,1999.6118,36.95
227,1999.6388,-14.83
228,1999.6931,4.05
229,1999.7197,31.54
230,1999.7466,34.99
231,1999.7746,47.17
232,1999.8017,78.68
233,1999.829,83.36
234,1999.856,47.85
235,1999.8832,24.8
236,1999.9084,10.17
237,1999.9645,-37.47
238,1999.9917,-4.9
239,2000.0186,62.78
240,2000.0463,46.23
241,2000.0745,-10.17
242,2000.1008,3.38
243,2000.1273,15.99
244,2000.1541,37.51
245,2000.1813,44.09
246,2000.209,38.64
247,2000.2364,23.53
248,2000.2903,-31.95
249,2000.3175,-2.49
250,2000.3439,2.71
251,2000.3717,7.92
252,2000.3986,9.11
253,2000.4262,-11.46
254,2000.4543,21.15
255,2000.4814,0.98
256,2000.507,25.22
257,2000.5348,18.86
258,2000.5893,-13.35
259,2000.6164,-22.18
260,2000.6433,-6.3
261,2000.6708,21.49
262,2000.6974,42.89
263,2000.7243,12.88
264,2000.7519,8.61
265,2000.7789,-15.94
266,2000.8059,-8.25
267,2000.8605,-0.09
268,2000.8871,19.49
269,2000.9144,17.46
270,2000.9415,24.48
271,2000.9691,36.35
272,2000.9962,45.52
273,2001.0236,109.57
274,2001.0782,84.3
275,2001.1048,54.2
276,2001.132,36.68
277,2001.1602,9.32
278,2001.186,-18.37
279,2001.2135,-14.08
280,2001.2405,23.91
281,2001.2676,12.95
282,2001.294,3.08
283,2001.3221,13.56
284,2001.3492,17.14
285,2001.3759,-1.64
286,2001.4034,4.49
287,2001.431,-18.28
288,2001.4569,32.9
289,2001.4851,34.23
290,2001.5116,26.32
291,2001.5389,9.82
292,2001.5662,17.77
293,2001.5932,28.24
294,2001.621,38.37
295,2001.6475,69.32
296,2001.675,71.31
297,2001.702,79.73
298,2001.7293,37.58
299,2001.7566,32.31
300,2001.7832,75.14
301,2001.8103,59.4
302,2001.8379,4.29
303,2001.8654,-58.71
304,2001.8935,-25.13
305,2001.9189,1.47
306,2001.9556,-14.35
307,2001.9733,-33.23
308,2002.0005,-53.42
309,2002.0276,-63.49
310,2002.0544,2.8
311,2002.0548,8.47
312,2002.0817,23.48
313,2002.0818,18.4
314,2002.1092,-2.1
315,2002.1094,-5.12
316,2002.1362,9.65
317,2002.1363,13.84
318,2002.1636,-27.23
319,2002.1638,-36.04
320,2002.1905,-36.17
321,2002.1909,-28.3
322,2002.2177,-43.42
323,2002.218,-50.07
324,2002.2442,-1.78
325,2002.2449,-3.05
326,2002.2721,14.809999999999999
327,2002.2989,7.5
328,2002.3007,16.74
329,2002.3259,51.63
330,2002.3262,47.72
331,2002.3534,68.78
332,2002.3536,78.73
333,2002.38,69.5
334,2002.3808,51.72
335,2002.4079,15.16
336,2002.408,5.24
337,2002.4347,10.76
338,2002.4351,7.99
339,2002.4621,17.23
340,2002.4623,26.94
341,2002.4888,87.66
342,2002.4895,91.72
343,2002.5166,-9.98
344,2002.5436,31.6
345,2002.544,34.96
346,2002.5705,69.0
347,2002.5713,62.57
348,2002.5975,-3.09
349,2002.5979,8.06
350,2002.6249,10.09
351,2002.6252,18.67
352,2002.6517,43.37
353,2002.6559,41.43
354,2002.6787,60.6
355,2002.6793,57.58
356,2002.7058,44.29
357,2002.7065,26.71
358,2002.7328,1.49
359,2002.7335,-26.68
360,2002.7595,-35.33
361,2002.7606,-38.84
362,2002.7865,3.27
363,2002.7878,15.3
364,2002.8149,29.84
365,2002.815,28.19
366,2002.8414,-44.38
367,2002.8421,-54.28
368,2002.8683,-30.0
369,2002.8693,-29.17
370,2002.8948,13.24
371,2002.8959,34.19
372,2002.9225,52.03
373,2002.9237,35.82
374,2002.9501,28.8
375,2002.9507,12.5
376,2002.9773,58.02
377,2002.9778,65.11
378,2003.0037,19.6
379,2003.0049,1.4
380,2003.0319,-15.46
381,2003.0326,-22.71
382,2003.0581,3.12
383,2003.0594,3.37
384,2003.0854,6.76
385,2003.0866,25.72
386,2003.1133,59.17
387,2003.1139,75.46
388,2003.1407,21.1
389,2003.1413,31.42
390,2003.167,55.15
391,2003.1679,56.6
392,2003.1936,63.03
393,2003.1949,59.42
394,2003.2214,36.25
395,2003.2224,12.62
396,2003.2485,14.9
397,2003.2492,5.72
398,2003.277,-18.97
399,2003.2804,-21.69
400,2003.3028,-11.39
401,2003.3036,-12.24
402,2003.3303,-63.76
403,2003.3307,-75.43
404,2003.3573,29.14
405,2003.3576,35.06
406,2003.3839,56.79
407,2003.3854,59.54
408,2003.4119,59.015
409,2003.4387,31.71
410,2003.4394,3.46
411,2003.4661,-7.18
412,2003.4666,-17.48
413,2003.4936,-81.21
414,2003.4937,-67.03
415,2003.5212,-40.27
416,2003.5474,-13.39
417,2003.5481,2.17
418,2003.5751,22.37
419,2003.5831,-13.9
420,2003.6014,-4.94
421,2003.6023,-7.83
422,2003.6288,9.49
423,2003.6294,28.1
424,2003.6558,-20.15
425,2003.6567,-14.02
426,2003.682,-5.68
427,2003.6838,11.85
428,2003.711,28.255
429,2003.7372,66.94
430,2003.7378,82.75
431,2003.7645,95.36
432,2003.7652,60.86
433,2003.7923,41.16
434,2003.793,61.83
435,2003.819,17.35
436,2003.8195,-7.84
437,2003.846,10.3
438,2003.8468,28.71
439,2003.8725,50.17
440,2003.8727,51.48
441,2003.9103,83.22
442,2003.9111,187.6
443,2003.9224,95.06
444,2003.9281,48.97
445,2003.9534,-24.7
446,2003.9552,-35.91
447,2003.9816,-61.59
448,2003.9826,-48.86
449,2004.0089,-12.67
450,2004.0097,3.42
451,2004.0356,46.45
452,2004.0367,49.86
453,2004.0622,27.53
454,2004.0639,-17.97
455,2004.09,-14.48
456,2004.091,-25.07
457,2004.1146,-37.82
458,2004.1193,-41.85
459,2004.1449,-53.04
460,2004.1492,-29.55
461,2004.1719,-10.25
462,2004.1724,3.07
463,2004.1981,-21.65
464,2004.1998,10.09
465,2004.2267,11.88
466,2004.2275,34.04
467,2004.2529,9.99
468,2004.2532,6.79
469,2004.2802,-16.53
470,2004.2809,-9.13
471,2004.3076,-18.25
472,2004.3082,4.03
473,2004.3337,-9.35
474,2004.3352,10.09
475,2004.3623,31.32
476,2004.3628,22.71
477,2004.3888,60.29
478,2004.3894,72.2
479,2004.4166,49.63
480,2004.444,14.44
481,2004.4708,-36.18
482,2004.471,2.04
483,2004.498,18.75
484,2004.4985,31.92
485,2004.5242,23.22
486,2004.5254,32.27
487,2004.5525,55.92
488,2004.5545,60.15
489,2004.5776,46.74
490,2004.5795,67.55
491,2004.6053,43.8
492,2004.6069,69.1
493,2004.6332,43.15
494,2004.634,65.32
495,2004.6596,47.84
496,2004.6607,56.1
497,2004.6881,63.55
498,2004.6886,55.64
499,2004.7144,-2.5
500,2004.7155,23.81
501,2004.7417,-7.49
502,2004.7425,-12.65
503,2004.769,27.8
504,2004.7696,-5.38
505,2004.7959,44.51
506,2004.7971,12.95
507,2004.8229,42.52
508,2004.8239,44.96
509,2004.8501,-2.0
510,2004.8511,15.7
511,2004.8776,19.43
512,2004.8783,23.98
513,2004.9049,-31.04
514,2004.905,-38.33
515,2004.9327,32.25
516,2004.9331,11.57
517,2004.9544,54.66
518,2004.9597,64.64
519,2004.9854,61.66
520,2004.9868,83.2
521,2005.0136,41.22
522,2005.014,30.67
523,2005.0403,9.12
524,2005.0412,0.45
525,2005.0675,36.18
526,2005.0683,44.87
527,2005.0937,26.41
528,2005.0956,5.72
529,2005.1217,73.21
530,2005.1229,79.35
531,2005.1495,5.92
532,2005.1498,11.07
533,2005.1768,-16.92
534,2005.1788,-56.6
535,2005.2041,-56.82
536,2005.2043,-51.67
537,2005.2313,-41.81
538,2005.2585,-19.085
539,2005.2849,-22.34
540,2005.2859,-9.42
541,2005.3091,-36.05
542,2005.3129,-20.77
543,2005.3396,-4.31
544,2005.3397,-3.82
545,2005.3657,38.96
546,2005.3671,32.2
547,2005.3932,-18.94
548,2005.3938,-12.95
549,2005.4206,-7.77
550,2005.4212,-18.32
551,2005.4482,2.0300000000000002
552,2005.4744,-48.12
553,2005.4759,-38.16
554,2005.501,-44.09
555,2005.5027,-14.99
556,2005.5299,-17.27
557,2005.5302,-17.67
558,2005.5569,-9.34
559,2005.5571,-17.94
560,2005.5828,7.57
561,2005.5848,18.56
562,2005.6107,-30.93
563,2005.6113,8.79
564,2005.638,-35.64
565,2005.6388,-26.36
566,2005.6647,15.8
567,2005.6658,3.89
568,2005.6915,46.88
569,2005.6931,32.36
570,2005.7158,13.4
571,2005.7196,-10.06
572,2005.7463,7.42
573,2005.751,37.16
574,2005.7742,-3.44
575,2005.8013,-6.21
576,2005.8284,-23.91
577,2005.8559,0.69
578,2005.8827,74.59
579,2005.9097,4.15
580,2005.9371,-27.33
581,2005.9642,-76.34
582,2005.9915,-3.57
583,2006.0186,64.72
584,2006.0457,69.86
585,2006.0728,82.17
586,2006.1001,43.89
587,2006.1269,14.16
588,2006.1543,41.6
589,2006.1814,-8.28
590,2006.2083,-51.46
591,2006.2356,-6.47
592,2006.2627,8.88
593,2006.29,-11.08
594,2006.317,-12.8
595,2006.3441,39.17
596,2006.3713,35.89
597,2006.3986,22.58
598,2006.4257,41.85
599,2006.4527,54.69
600,2006.4803,10.01
601,2006.5075,5.82
602,2006.5342,13.81
603,2006.5617,17.42
604,2006.5886,18.74
605,2006.6156,27.88
606,2006.6429,11.92
607,2006.6702,4.87
608,2006.6972,-6.79
609,2006.7244,36.78
610,2006.7516,61.47
611,2006.7787,44.98
612,2006.8057,41.01
613,2006.8245,12.8
614,2006.8891,80.16
615,2006.9144,50.43
616,2006.9415,31.77
617,2006.9687,11.63
618,2006.9959,30.21
619,2007.023,17.38
620,2007.0502,37.09
621,2007.0773,-49.23
622,2007.1044,-41.37
623,2007.1313,4.96
624,2007.1587,57.27
625,2007.1858,24.62
626,2007.2128,111.91
627,2007.2402,66.42
628,2007.2667,12.09
629,2007.2947,10.65
630,2007.3215,12.51
631,2007.3491,-24.19
632,2007.3758,11.13
633,2007.4033,25.13
634,2007.4303,20.54
635,2007.4574,3.02
636,2007.4845,-61.13
637,2007.5117,-25.21
638,2007.5385,-31.0
639,2007.5655,-6.23
640,2007.5931,41.17
641,2007.6202,71.38
642,2007.6472,13.99
643,2007.6745,3.48
644,2007.7016,5.63
645,2007.7288,30.98
646,2007.7559,14.66
647,2007.7831,-59.62
648,2007.8102,-57.93
649,2007.8374,-23.19
650,2007.8646,32.83
651,2007.8916,12.47
652,2007.9188,34.78
653,2007.946,22.92
654,2007.9731,47.89
655,2008.0001,-26.3
656,2008.0276,9.17
657,2008.0546,55.89
658,2008.0818,34.9
659,2008.1089,7.74
660,2008.1365,3.25
661,2008.1632,-49.53
662,2008.1904,8.34
663,2008.2175,24.81
664,2008.2448,52.07
665,2008.2719,54.67
666,2008.2985,52.72
667,2008.3259,11.33
668,2008.3448,9.81
669,2008.3805,54.74
670,2008.4076,21.52
671,2008.4346,71.64
672,2008.4621,54.03
673,2008.489,16.94
674,2008.516,-4.31
675,2008.518,22.37
676,2008.5432,11.34
677,2008.5441,35.77
678,2008.5705,58.275000000000006
679,2008.5939,11.34
680,2008.5975,13.78
681,2008.6253,20.79
682,2008.6513,1.52
683,2008.6517,-9.33
684,2008.679,-3.86
685,2008.6794,3.9
686,2008.706,-15.55
687,2008.7064,-14.84
688,2008.7328,-20.77
689,2008.7333,-29.59
690,2008.7604,-14.59
691,2008.7605,-14.78
692,2008.7876,-15.08
693,2008.7881,-4.28
694,2008.8148,-0.91
695,2008.8155,14.85
696,2008.8418,-37.47
697,2008.8424,-31.01
698,2008.8691,12.88
699,2008.8696,16.09
700,2008.8962,-25.98
701,2008.8966,-15.95
702,2008.9238,16.62
703,2008.9248,3.28
704,2008.9505,21.84
705,2008.9508,25.96
706,2008.9777,16.54
707,2008.9781,24.08
708,2009.0048,1.24
709,2009.0056,13.84
710,2009.0319,-0.67
711,2009.0324,3.51
712,2009.059,-24.07
713,2009.0594,-8.03
714,2009.0866,38.95
715,2009.1139,30.37
716,2009.1268,27.45
717,2009.1408,19.64
718,2009.154,26.4
719,2009.1672,13.55
720,2009.1816,-8.49
721,2009.1954,-40.56
722,2009.2075,-0.45
723,2009.2227,-37.54
724,2009.2347,7.61
725,2009.2494,38.67
726,2009.2611,30.07
