,time,sea_level_altitude
0,1992.8249,55.24
1,1992.8503,74.14
2,1992.8772,-0.86
3,1992.906,16.44
4,1992.9319,-6.86
5,1992.9596,-80.56
6,1992.9868,-55.86
7,1993.0133,-43.26
8,1993.0407,-61.56
9,1993.0654,-105.06
10,1993.0964,-150.76
11,1993.1219,-117.96
12,1993.1494,-133.96
13,1993.1773,-122.36
14,1993.2046,-58.76
15,1993.2324,-86.16
16,1993.2867,-72.46
17,1993.3126,-54.66
18,1993.3404,-48.06
19,1993.3672,-43.36
20,1993.3939,-67.86
21,1993.422,-56.76
22,1993.449,-65.56
23,1993.4754,-38.86
24,1993.5036,-15.66
25,1993.53,5.34
26,1993.5847,59.64
27,1993.6119,68.24
28,1993.6393,22.44
29,1993.6659,28.34
30,1993.6932,71.14
31,1993.7197,23.64
32,1993.7475,90.34
33,1993.7748,124.24
34,1993.8021,34.24
35,1993.8565,9.94
36,1993.8835,-3.76
37,1993.9108,-86.76
38,1993.9372,-85.06
39,1993.965,-91.16
40,1993.9919,-65.06
41,1994.0191,-59.16
42,1994.0459,-36.26
43,1994.0733,-95.06
44,1994.1005,-145.26
45,1994.1278,-116.26
46,1994.1549,-91.86
47,1994.1814,-106.16
48,1994.2359,-105.46
49,1994.2635,-66.46
50,1994.2901,-42.86
51,1994.3176,-46.66
52,1994.3446,-62.06
53,1994.3721,-76.36
54,1994.3994,-60.06
55,1994.4261,-54.26
56,1994.453,-41.26
57,1994.5077,-20.96
58,1994.535,49.64
59,1994.5621,51.34
60,1994.5887,76.14
61,1994.6163,104.94
62,1994.6436,130.44
63,1994.6706,85.34
64,1994.6978,77.74
65,1994.7252,101.54
66,1994.7522,117.74
67,1994.7796,61.24
68,1994.8063,88.34
69,1994.8334,65.84
70,1994.8878,17.24
71,1994.9153,-27.26
72,1994.9416,-8.76
73,1994.9693,9.64
74,1994.9963,-19.86
75,1995.0238,-121.06
76,1995.0501,-90.06
77,1995.0785,-70.86
78,1995.1047,-69.86
79,1995.132,-52.26
80,1995.1594,-103.36
81,1995.2141,-106.96
82,1995.2402,-122.06
83,1995.2678,-114.86
84,1995.2946,-72.76
85,1995.3221,-87.56
86,1995.3755,-29.76
87,1995.4032,-44.16
88,1995.4308,-56.56
89,1995.4574,-24.86
90,1995.4844,-37.46
91,1995.5395,-16.96
92,1995.5666,26.94
93,1995.5938,9.44
94,1995.6208,10.54
95,1995.6479,51.04
96,1995.6743,22.44
97,1995.7023,78.94
98,1995.7297,119.24
99,1995.7566,70.34
100,1995.7837,62.34
101,1995.8378,-77.66
102,1995.8651,-82.46
103,1995.8917,-30.86
104,1995.946,25.34
105,1995.9739,-5.56
106,1996.0009,-79.86
107,1996.0284,-79.06
108,1996.0559,-50.96
109,1996.0823,-80.56
110,1996.1095,-135.76
111,1996.1637,-152.36
112,1996.1906,-155.36
113,1996.2198,-139.16
114,1996.2452,-140.26
115,1996.2724,-121.86
116,1996.2994,-89.66
117,1996.3269,-88.26
118,1996.355,-36.76
119,1996.3807,-25.36
120,1996.4088,-39.86
121,1996.4356,-13.56
122,1996.4897,-9.56
123,1996.5166,22.64
124,1996.5441,54.74
125,1996.5702,77.24
126,1996.5981,93.64
127,1996.6255,55.04
128,1996.6521,59.94
129,1996.6795,74.54
130,1996.7071,90.34
131,1996.7333,132.34
132,1996.7604,135.04
133,1996.8154,107.14
134,1996.8425,84.64
135,1996.87,73.94
136,1996.8965,-6.56
137,1996.924,-78.36
138,1996.9509,-68.96
139,1996.9782,-65.06
140,1997.005,-78.16
141,1997.0326,-77.26
142,1997.0597,-79.66
143,1997.087,-47.76
144,1997.1409,-97.66
145,1997.1681,-36.26
146,1997.1956,-44.96
147,1997.2224,-72.76
148,1997.2494,-131.26
149,1997.2766,-133.66
150,1997.3045,-57.16
151,1997.3312,-79.06
152,1997.3588,-82.06
153,1997.3852,-44.56
154,1997.4122,-0.66
155,1997.4668,24.64
